Peak	FN_45	LN_45	N0_45	FN_60	LN_60	N0_60	FN_75	LN_75	N0_75
Analyte 1177	0.001013096	0.001761294	0.001299473	0.001214125	0.001056169	0.002446286	0.000939536	0.001001855	0.001435664
3'-adenylic acid	4.44E-05	0.000251115	0.000124973	1.76E-05	0.000354204	0.00035092	3.24E-05	0.000164454	0.000292206
Galactinol 1	0.00014814	3.42E-05	1.84E-05	0.000214898	6.34E-05	7.94E-05	0.000189522	4.45E-05	0.000141323
Tetrahydrocorticosterone 3	1.13E-05	3.11E-05	4.75E-05	3.63E-11	5.33E-05	5.65E-05	4.14E-11	4.04E-05	5.07E-05
Analyte 1190	3.76E-11	0.000212197	4.13E-05	3.63E-11	0.000159124	0.000156454	3.37E-05	5.50E-05	4.43E-05
Hesperitin 2	6.48E-05	0.000244419	0.000247687	5.19E-05	0.000379936	0.000280091	7.16E-05	0.000339013	0.000370379
Analyte 1196	0.005572448	0.005183532	0.006851294	0.006968217	0.005932905	0.005162817	0.004965905	0.00557137	0.007317394
Analyte 1200	0.000230125	0.000205752	0.000211509	0.000276351	0.000268773	0.000265144	0.000241117	0.000212271	0.000351385
Cholesterol-2,2,3,4,4,6-d6	5.37E-05	0.00012775	0.000188817	5.60E-06	0.000210121	0.000192029	4.14E-11	3.68E-05	0.000184022
Analyte 1231	0.001126708	0.000218245	0.001738496	0.000632286	0.001000383	0.001166604	0.000979833	0.000938913	0.001885004
Analyte 1236	0.009360354	0.024758072	0.012090914	0.008370149	0.014972978	0.01744878	0.002776231	0.010391279	0.019268248
